Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
automationTest,Chrome 131.0.0.0,,,04-12-2024 20:41:33,04-12-2024 20:42:23,49.610s,PASSED
,,,,,,,
Test Cases/Login/0001 - pageLogin,Chrome 131.0.0.0,,,04-12-2024 20:41:34,04-12-2024 20:41:50,16.066s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/"")",Chrome 131.0.0.0,,,04-12-2024 20:41:35,04-12-2024 20:41:47,12.646s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,04-12-2024 20:41:47,04-12-2024 20:41:48,0.419s,PASSED
"verifyElementPresent(findTestObject(""textLogin""), 0)",Chrome 131.0.0.0,,,04-12-2024 20:41:48,04-12-2024 20:41:50,2.205s,PASSED
,,,,,,,
Test Cases/Login/0002 - loginSuccess,Chrome 131.0.0.0,,,04-12-2024 20:41:50,04-12-2024 20:42:23,32.461s,PASSED
"callTestCase(findTestCase(""Login/0001 - pageLogin""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,04-12-2024 20:41:51,04-12-2024 20:42:08,16.822s,PASSED
"click(findTestObject(""inputUsername""))",Chrome 131.0.0.0,,,04-12-2024 20:42:08,04-12-2024 20:42:09,1.410s,PASSED
"setText(findTestObject(""inputUsername""), ""admin"")",Chrome 131.0.0.0,,,04-12-2024 20:42:09,04-12-2024 20:42:11,1.803s,PASSED
"click(findTestObject(""inputPaasword""))",Chrome 131.0.0.0,,,04-12-2024 20:42:11,04-12-2024 20:42:13,1.794s,PASSED
"setText(findTestObject(""inputPaasword""), ""admin123"")",Chrome 131.0.0.0,,,04-12-2024 20:42:13,04-12-2024 20:42:14,1.799s,PASSED
"click(findTestObject(""buttonLogin""))",Chrome 131.0.0.0,,,04-12-2024 20:42:14,04-12-2024 20:42:17,3.093s,PASSED
"verifyElementPresent(findTestObject(""textDashboard""), 0)",Chrome 131.0.0.0,,,04-12-2024 20:42:17,04-12-2024 20:42:20,2.462s,PASSED
delay(2),Chrome 131.0.0.0,,,04-12-2024 20:42:20,04-12-2024 20:42:22,2.193s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,04-12-2024 20:42:22,04-12-2024 20:42:23,0.499s,PASSED
