Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lupa Password,Chrome 131.0.0.0,,,08-12-2024 14:12:15,08-12-2024 14:13:26,1m - 10.542s,PASSED
,,,,,,,
Test Cases/TC - LP 003/TC 001 Klik Forgot your password,Chrome 131.0.0.0,,,08-12-2024 14:12:16,08-12-2024 14:13:00,44.425s,PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 14:12:17,08-12-2024 14:12:41,23.590s,PASSED
"click(findTestObject(""Forgot Password/textForgotpassword""))",Chrome 131.0.0.0,,,08-12-2024 14:12:41,08-12-2024 14:12:44,3.061s,PASSED
"waitForElementPresent(findTestObject(""Forgot Password/inputUsername""), 0)",Chrome 131.0.0.0,,,08-12-2024 14:12:44,08-12-2024 14:12:45,1.564s,PASSED
"click(findTestObject(""Forgot Password/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 14:12:45,08-12-2024 14:12:47,1.571s,PASSED
"setText(findTestObject(""Forgot Password/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,08-12-2024 14:12:47,08-12-2024 14:12:50,2.891s,PASSED
"click(findTestObject(""Forgot Password/buttonResetpassword""))",Chrome 131.0.0.0,,,08-12-2024 14:12:50,08-12-2024 14:12:53,3.765s,PASSED
"verifyElementPresent(findTestObject(""Forgot Password/textResetpassword""), 0)",Chrome 131.0.0.0,,,08-12-2024 14:12:53,08-12-2024 14:12:54,0.854s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 14:12:54,08-12-2024 14:12:57,2.245s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 14:12:57,08-12-2024 14:13:00,3.655s,PASSED
,,,,,,,
Test Cases/TC - LP 003/TC 002 Tombol cancel pada lupa password,Chrome 131.0.0.0,,,08-12-2024 14:13:00,08-12-2024 14:13:26,25.223s,PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 14:13:01,08-12-2024 14:13:14,13.302s,PASSED
"click(findTestObject(""Forgot Password/textForgotpassword""))",Chrome 131.0.0.0,,,08-12-2024 14:13:14,08-12-2024 14:13:16,1.698s,PASSED
"waitForElementPresent(findTestObject(""Forgot Password/inputUsername""), 0)",Chrome 131.0.0.0,,,08-12-2024 14:13:16,08-12-2024 14:13:17,0.853s,PASSED
"click(findTestObject(""Forgot Password/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 14:13:17,08-12-2024 14:13:17,0.452s,PASSED
"setText(findTestObject(""Forgot Password/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,08-12-2024 14:13:17,08-12-2024 14:13:18,1.215s,PASSED
"click(findTestObject(""Forgot Password/buttonCancel""))",Chrome 131.0.0.0,,,08-12-2024 14:13:18,08-12-2024 14:13:20,1.684s,PASSED
"verifyElementPresent(findTestObject(""Forgot Password/textForgotpassword""), 0)",Chrome 131.0.0.0,,,08-12-2024 14:13:20,08-12-2024 14:13:21,0.905s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 14:13:21,08-12-2024 14:13:23,2.097s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 14:13:23,08-12-2024 14:13:26,2.495s,PASSED
