Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cari data karyawan,Chrome 131.0.0.0,,,08-12-2024 14:16:22,08-12-2024 14:26:39,10m - 16.526s,FAILED
,,,,,,,
Test Cases/TC - CK 005/TC 001 Cari default list karyawan Username dan Employee id kosong,Chrome 131.0.0.0,,,08-12-2024 14:16:23,08-12-2024 14:17:19,55.836s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 14:16:25,08-12-2024 14:17:09,44.827s,PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 14:17:09,08-12-2024 14:17:10,0.548s,PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 14:17:10,08-12-2024 14:17:11,0.632s,PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,08-12-2024 14:17:11,08-12-2024 14:17:11,0.694s,PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,08-12-2024 14:17:11,08-12-2024 14:17:13,1.319s,PASSED
"waitForElementPresent(findTestObject(""Search Employee/tableEmployee""), 3)",Chrome 131.0.0.0,,,08-12-2024 14:17:13,08-12-2024 14:17:13,0.363s,PASSED
delay(5),Chrome 131.0.0.0,,,08-12-2024 14:17:13,08-12-2024 14:17:18,5.106s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 14:17:18,08-12-2024 14:17:19,0.879s,PASSED
,,,,,,,
Test Cases/TC - CK 005/TC 002 Cari nama karyawan terdaftar Username valid,Chrome 131.0.0.0,,,08-12-2024 14:17:19,08-12-2024 14:17:58,39.260s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 14:17:19,08-12-2024 14:17:46,26.751s,PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 14:17:46,08-12-2024 14:17:47,0.688s,PASSED
"setText(findTestObject(""Search Employee/inputUsername""), ""rafki mustafa"")",Chrome 131.0.0.0,,,08-12-2024 14:17:47,08-12-2024 14:17:48,1.249s,PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 14:17:48,08-12-2024 14:17:49,0.912s,PASSED
