Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Website,Chrome 131.0.0.0,,,08-12-2024 15:01:28,08-12-2024 15:05:39,4m - 11.768s,PASSED
,,,,,,,
Test Cases/TC - LW 002/TC 001 Login berhasil,Chrome 131.0.0.0,,,08-12-2024 15:01:30,08-12-2024 15:02:27,56.708s,PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:01:35,08-12-2024 15:02:16,41.223s,PASSED
"click(findTestObject(""Login/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 15:02:16,08-12-2024 15:02:17,0.993s,PASSED
"setText(findTestObject(""Login/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,08-12-2024 15:02:17,08-12-2024 15:02:19,2.007s,PASSED
"click(findTestObject(""Login/inputPaasword""))",Chrome 131.0.0.0,,,08-12-2024 15:02:19,08-12-2024 15:02:19,0.574s,PASSED
"setText(findTestObject(""Login/inputPaasword""), ""admin123"")",Chrome 131.0.0.0,,,08-12-2024 15:02:19,08-12-2024 15:02:20,0.918s,PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 131.0.0.0,,,08-12-2024 15:02:20,08-12-2024 15:02:21,0.561s,PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:02:21,08-12-2024 15:02:27,5.759s,PASSED
,,,,,,,
Test Cases/TC - LW 002/TC 002 Login gagal username salah,Chrome 131.0.0.0,,,08-12-2024 15:02:27,08-12-2024 15:03:00,33.404s,PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:02:29,08-12-2024 15:02:48,18.798s,PASSED
"click(findTestObject(""Login/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 15:02:48,08-12-2024 15:02:49,1.592s,PASSED
"setText(findTestObject(""Login/inputUsername""), ""adm"")",Chrome 131.0.0.0,,,08-12-2024 15:02:49,08-12-2024 15:02:52,2.411s,PASSED
"click(findTestObject(""Login/inputPaasword""))",Chrome 131.0.0.0,,,08-12-2024 15:02:52,08-12-2024 15:02:53,1.400s,PASSED
"setText(findTestObject(""Login/inputPaasword""), ""admin123"")",Chrome 131.0.0.0,,,08-12-2024 15:02:53,08-12-2024 15:02:54,1.156s,PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 131.0.0.0,,,08-12-2024 15:02:54,08-12-2024 15:02:57,2.181s,PASSED
"verifyElementPresent(findTestObject(""Login/textInvalidcredentials""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:02:57,08-12-2024 15:02:57,0.921s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 15:02:57,08-12-2024 15:03:00,2.103s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 15:03:00,08-12-2024 15:03:00,0.748s,PASSED
,,,,,,,
Test Cases/TC - LW 002/TC 003 Login gagal password salah,Chrome 131.0.0.0,,,08-12-2024 15:03:00,08-12-2024 15:03:27,26.925s,PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:03:01,08-12-2024 15:03:15,14.008s,PASSED
"click(findTestObject(""Login/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 15:03:15,08-12-2024 15:03:16,1.102s,PASSED
"setText(findTestObject(""Login/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,08-12-2024 15:03:16,08-12-2024 15:03:19,3.098s,PASSED
"click(findTestObject(""Login/inputPaasword""))",Chrome 131.0.0.0,,,08-12-2024 15:03:19,08-12-2024 15:03:20,0.588s,PASSED
"setText(findTestObject(""Login/inputPaasword""), ""admin"")",Chrome 131.0.0.0,,,08-12-2024 15:03:20,08-12-2024 15:03:21,1.322s,PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 131.0.0.0,,,08-12-2024 15:03:21,08-12-2024 15:03:23,2.593s,PASSED
"verifyElementPresent(findTestObject(""Login/textInvalidcredentials""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:03:23,08-12-2024 15:03:24,0.858s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 15:03:24,08-12-2024 15:03:26,2.017s,PASSED
