Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Karyawan,Chrome 131.0.0.0,,,09-12-2024 20:05:17,09-12-2024 20:15:31,"10m - 13,652s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 20:05:17,09-12-2024 20:07:02,"1m - 45,093s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:05:19,09-12-2024 20:06:38,"1m - 18,389s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 20:06:38,09-12-2024 20:06:40,"2,827s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 20:06:40,09-12-2024 20:06:44,"3,520s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 20:06:44,09-12-2024 20:06:47,"3,115s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 20:06:47,09-12-2024 20:06:49,"1,923s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 20:06:49,09-12-2024 20:06:50,"1,271s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 20:06:50,09-12-2024 20:06:51,"0,629s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 20:06:51,09-12-2024 20:06:52,"0,906s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 20:06:52,09-12-2024 20:06:53,"1,388s",PASSED
