Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hapus Karywan,Chrome 131.0.0.0,,,09-12-2024 18:58:03,09-12-2024 19:08:07,"10m - 4,345s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 18:58:03,09-12-2024 18:59:53,"1m - 49,953s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 18:58:05,09-12-2024 18:59:20,"1m - 15,465s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 18:59:20,09-12-2024 18:59:25,"4,475s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 18:59:25,09-12-2024 18:59:29,"4,032s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 18:59:29,09-12-2024 18:59:31,"1,898s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 18:59:31,09-12-2024 18:59:34,"3,100s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 18:59:34,09-12-2024 18:59:36,"1,595s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 18:59:36,09-12-2024 18:59:36,"0,751s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 18:59:36,09-12-2024 18:59:37,"1,083s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 18:59:37,09-12-2024 18:59:38,"0,862s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 18:59:38,09-12-2024 18:59:40,"1,619s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 18:59:40,09-12-2024 18:59:42,"1,768s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 18:59:42,09-12-2024 18:59:43,"0,921s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 18:59:43,09-12-2024 18:59:44,"1,920s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 18:59:44,09-12-2024 18:59:45,"0,995s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 18:59:45,09-12-2024 18:59:48,"2,073s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 18:59:48,09-12-2024 18:59:53,"5,897s",PASSED
,,,,,,,
Test Cases/TC - HK 007/TC 001 Muncul konfirmasi sebelum hapus karyawan,Chrome 131.0.0.0,,,09-12-2024 18:59:54,09-12-2024 19:01:38,"1m - 44,749s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 18:59:55,09-12-2024 19:00:56,"1m - 1,082s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 19:00:56,09-12-2024 19:00:57,"0,506s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:00:57,09-12-2024 19:00:57,"0,550s",PASSED
